item_id,experiment,domain,model,question_or_task_text,expected_answer,model_response,premise_type,human_label,confidence,notes
AUD600_EXP1_0001,exp1,arithmetic,gemma-3-27b,About how many minutes are in 2 hours and 45 minutes?,About 165 minutes,About 165 minutes,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0002,exp1,arithmetic,llama-3.1-70b,"A group of friends want to share some candy equally. If they have 48 pieces and there are 6 friends, how many pieces will each friend get?",8,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0003,exp1,arithmetic,llama-3.1-70b,"Which of the following numbers is the smallest: 0.2, 1/5, or 20%?",0.2,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0004,exp1,arithmetic,phi-4,"A cup holds 0.5 liters of water. If 1 liter is equal to 1 kilogram, how many grams is that?",500,500,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0005,exp1,arithmetic,deepseek-r1,"A storage room has 20 shelves, and each shelf can hold 12 containers. If the storage room is currently empty, how many containers can be placed on the shelves in total?",240,240 maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0006,exp1,arithmetic,gemma-3-27b,About how many centimeters are in 2.5 kilometers?,About 250000 centimeters,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0007,exp1,arithmetic,gpt-oss-120b,"A library has 502 books on a shelf. If 221 books are borrowed, how many books are left on the shelf?",281,281 maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0008,exp1,arithmetic,gemma-3-27b,Compare 0.8 and 80% of a quantity. Which is larger?,0.8 and 80% are equal,0.8 and 80% are equal,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0009,exp1,arithmetic,deepseek-r1,"If a recipe requires 50 grams of flour, how many kilograms is that?",0.05,0.05 maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0010,exp1,arithmetic,deepseek-r1,"A bookshelf has 5 shelves, and each shelf can hold 12 books. If the bookshelf is currently empty, how many books can be placed on it in total?",60,60,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0011,exp1,arithmetic,phi-4,"If a person can read 80 pages per hour, about how many pages can they read in 9 hours?",About 720 pages,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0012,exp1,arithmetic,gemma-3-27b,"A store has 24 boxes. If 8 more boxes are delivered, how many boxes does the store have now?",32,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0013,exp1,arithmetic,llama-3.1-70b,"Rank these numbers in order from smallest to largest: 0.1, 0.2, 0.25","0.1, 0.2, 0.25","0.1, 0.2, 0.25",,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0014,exp1,arithmetic,phi-4,A radio show is 15 minutes long. How many quarter-hours is that?,0.5,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0015,exp1,arithmetic,llama-3.1-70b,"A group of coworkers want to share some donuts equally. If they have 96 donuts and there are 16 coworkers, how many donuts will each coworker get?",6,6,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0016,exp1,arithmetic,gpt-oss-120b,About how many hours are in 0.5 days?,12,12 maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0017,exp1,arithmetic,deepseek-r1,A student has 24 pencils in a box. She gives 4 pencils to her friend. How many pencils does she have left?,20,20 maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0018,exp1,arithmetic,llama-3.1-70b,"Which is largest: 15% of 200, 10% of 300, or 20% of 250?",20% of 250 (50),I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0019,exp1,arithmetic,gpt-oss-120b,A pencil weighs 0.1 kilograms. How many grams is that?,100,100,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0020,exp1,arithmetic,deepseek-r1,"A fruit stand owner has 24 baskets of pineapples to sell. Each basket contains 4 pineapples. If he sells 6 baskets, how many pineapples does he have left?",72,72,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0021,exp1,arithmetic,deepseek-r1,About how many hours are in 5 days?,About 120 hours,About 120 hours,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0022,exp1,arithmetic,gpt-oss-120b,"A library lends 417 books in the morning. If they had 337 books initially, how many books did they acquire?",80,80,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0023,exp1,arithmetic,gemma-3-27b,"Rank the following decimals from smallest to largest: 0.3, 0.9, 0.1","0.1, 0.3, 0.9","0.1, 0.3, 0.9",,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0024,exp1,arithmetic,llama-3.1-70b,A jogger finished a short run in 45 minutes. How many hours did it take?,0.75,0.75,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0025,exp1,arithmetic,phi-4,You have 9 crayons and you want to give an equal number to 3 of your friends. How many crayons will each friend get?,3,3,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0026,exp1,arithmetic,gpt-oss-120b,How many minutes are in 30 minutes plus 10 minutes?,40 minutes,40 minutes,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0027,exp1,arithmetic,llama-3.1-70b,"A city has 240 people. If 80 more people move to the city, what is the new population?",320,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0028,exp1,arithmetic,phi-4,"Which of the following fractions is the largest: 1/4, 1/2, 1/3, or 1/5",1/2,1/2,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0029,exp1,arithmetic,gemma-3-27b,A bookshelf is 180 cm tall. How many meters is that?,1.80,1.80,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0030,exp1,arithmetic,deepseek-r1,Alex has $20 to spend on breakfast. He buys a muffin for $5 and a coffee for $2. How much money does he have left?,$13,$13,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0031,exp1,arithmetic,llama-3.1-70b,About how many hours are in 3 weeks?,About 504 hours,About 504 hours,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0032,exp1,arithmetic,gpt-oss-120b,"A bakery wants to package some cookies. If they have 216 cookies and there are 9 boxes, how many cookies will each box hold?",24,24,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0033,exp1,arithmetic,phi-4,Compare 0.75 and 75% of a whole. Which is larger?,0.75 and 75% are equal,0.75 and 75% are equal,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0034,exp1,arithmetic,gemma-3-27b,A book weighs 1000 grams. How many kilograms is that?,1,1 maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0035,exp1,arithmetic,llama-3.1-70b,Sarah has $25 to spend on lunch. She buys a sandwich for $8 and a drink for $4. How much money does she have left?,$13,$13,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0036,exp1,arithmetic,gemma-3-27b,About how many days are in 3 weeks?,About 21 days,About 21 days,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0037,exp1,arithmetic,gemma-3-27b,Emily has 187 markers in her desk. She gives 29 markers to her classmate. How many markers does Emily have left?,158,158,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0038,exp1,arithmetic,gpt-oss-120b,"Compare the values of 0.2, 1/5, and 20%.","1/5 (= 0.2) and 20% are equal, and 0.2 is also equal to them","1/5 (= 0.2) and 20% are equal, and 0.2 is also equal to them",,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0039,exp1,arithmetic,gpt-oss-120b,A box of cereal weighs 0.9 kg. How many grams is that?,900,900 maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0040,exp1,arithmetic,llama-3.1-70b,"A single shelf can hold 6 books. If you have 2 identical shelves, how many books can you place on them in total?",12,12,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0041,exp1,arithmetic,deepseek-r1,"If a factory worker can assemble 75 components per hour, about how many components can they assemble in 16 hours?",About 1200 components,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0042,exp1,arithmetic,deepseek-r1,A player earns 243 points in a tournament and then loses 71 points. What is the player's new score?,172,172,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0043,exp1,arithmetic,llama-3.1-70b,"A small bottle can hold 6, 8, or 10 ounces of soda. What is the capacity of the smallest bottle?",6,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0044,exp1,arithmetic,deepseek-r1,A painting is 120 cm long. How many meters is that?,1.2,1.2,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0045,exp1,arithmetic,llama-3.1-70b,"Jackson has 24 packs of highlighters to sell at the office. Each pack contains 6 highlighters. If he sells 4 packs, how many highlighters does he have left?",120,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0046,exp1,arithmetic,gemma-3-27b,"If a bookstore sells 300 books per day, about how many books does it sell in a week?",About 2100 books,About 2100 books,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0047,exp1,arithmetic,llama-3.1-70b,"A bookstore has 243 novels. If 79 novels are added, how many novels are in the bookstore now?",322,322,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0048,exp1,arithmetic,llama-3.1-70b,A book is on sale for $8 and $10 at two different stores. Where is it cheapest?,$8,$8,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0049,exp1,factual,gemma-3-27b,"The acclaimed geologist Mary Anning wrote a popular science book called 'The Fossil Hunter', which explores the concept of which phenomenon that she is also known for discovering?",Dinosaur Fossils,Dinosaur Fossils,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0050,exp1,factual,deepseek-r1,Who wrote the famous novel 'Pride and Prejudice'?,Jane Austen,Jane Austen maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0051,exp1,factual,llama-3.1-70b,What is the capital of Japan?,Tokyo,Tokyo,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0052,exp1,factual,llama-3.1-70b,Who was the English queen who ruled during the 16th century and is famous for being a virgin?,Elizabeth I,Elizabeth I,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0053,exp1,factual,gpt-oss-120b,What is the scientific term for the preserved remains of prehistoric creatures?,Fossils,Fossils,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0054,exp1,factual,gemma-3-27b,What type of rock is formed from the cooling and solidification of magma or lava?,Igneous rock,Igneous rock,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0055,exp1,factual,phi-4,Who composed the symphony 'Symphony No. 5'?,Ludwig van Beethoven,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0056,exp1,factual,gemma-3-27b,What is the most well-known city in China?,Beijing,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0057,exp1,factual,llama-3.1-70b,Who led China during World War II?,Chiang Kai-shek,Chiang Kai-shek maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0058,exp1,factual,llama-3.1-70b,What is the chemical formula for carbon dioxide?,CO2,CO2,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0059,exp1,factual,gemma-3-27b,What is the chemical symbol for the lightest element?,H,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0060,exp1,factual,deepseek-r1,Who painted 'The Starry Night'?,Vincent van Gogh,Vincent van Gogh,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0061,exp1,factual,gpt-oss-120b,Which river is the longest in North America?,Missouri River,Missouri River,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0062,exp1,factual,phi-4,In what year did the Great Fire of London occur?,1666,1666,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0063,exp1,factual,gemma-3-27b,"What is the speed of light in a vacuum, in kilometers per hour?",1079252848,1079252848 maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0064,exp1,factual,gemma-3-27b,"Who was the husband of Mary Shelley, the author of 'Frankenstein'?",Percy Bysshe Shelley,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0065,exp1,factual,gpt-oss-120b,Who is credited with the invention of the light bulb?,Thomas Edison,Thomas Edison,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0066,exp1,factual,phi-4,What is the world's largest rainforest by area?,Amazon Rainforest,Amazon Rainforest,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0067,exp1,factual,phi-4,What was the name of the treaty that ended the Franco-Prussian War?,Treaty of Frankfurt,Treaty of Frankfurt,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0068,exp1,factual,llama-3.1-70b,What is the process by which crops convert sunlight into biomass?,Photosynthesis,Photosynthesis maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0069,exp1,factual,gemma-3-27b,What type of musical instrument is often associated with the jazz genre and was popularized by Louis Armstrong?,Trumpet,Trumpet,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0070,exp1,factual,gemma-3-27b,What is the name of the famous novel by Herman Melville that begins with the line 'Call me Ishmael'?,Moby-Dick,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0071,exp1,factual,llama-3.1-70b,What is the world's largest desert by land area?,Antarctic Desert,Antarctic Desert,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0072,exp1,factual,deepseek-r1,Who was the leader of the United Kingdom during the Falklands War?,Margaret Thatcher,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0073,exp1,factual,llama-3.1-70b,What is the largest planet that orbits the Sun?,Jupiter,Jupiter maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0074,exp1,factual,deepseek-r1,What ancient Greek philosopher also made significant contributions to the field of biology?,Aristotle,Aristotle,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0075,exp1,factual,llama-3.1-70b,Who is a famous German composer?,Ludwig van Beethoven,Ludwig van Beethoven,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0076,exp1,factual,llama-3.1-70b,What is the capital of Canada?,Ottawa,Ottawa,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0077,exp1,factual,gpt-oss-120b,What was the name of the treaty that ended the Austro-Prussian War?,Treaty of Prague,Treaty of Prague,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0078,exp1,factual,gemma-3-27b,What is the smallest entity that can be considered alive?,Cell,Cell maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0079,exp1,factual,phi-4,What is the largest planet in our solar system?,Jupiter,Jupiter maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0080,exp1,factual,deepseek-r1,Who painted the famous artwork 'The Persistence of Memory'?,Salvador Dali,Salvador Dali,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0081,exp1,factual,llama-3.1-70b,What is the world's largest desert by land area?,Antarctic Desert,Antarctic Desert,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0082,exp1,factual,llama-3.1-70b,In which year did the Chinese Revolution begin?,1911,1911,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0083,exp1,factual,gpt-oss-120b,How do green algae convert light energy from the sun into organic compounds?,Photosynthesis,Photosynthesis,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0084,exp1,factual,gpt-oss-120b,What is the name of the chemical element that is also the name of a heavy metal band?,Iron,Iron,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0085,exp1,factual,llama-3.1-70b,Who invented the light bulb?,Thomas Edison,Thomas Edison,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0086,exp1,factual,deepseek-r1,What is the capital of the country where the Amazon rainforest is located?,Brasília,Brasília,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0087,exp1,factual,phi-4,Who was the ancient Greek historian known for his book 'The Histories'?,Herodotus,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0088,exp1,factual,gpt-oss-120b,At what temperature does water boil in a laboratory setting in Celsius?,100,100 maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0089,exp1,factual,llama-3.1-70b,Who wrote the famous novel 'The Great Gatsby' and was also a soldier?,F. Scott Fitzgerald,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0090,exp1,factual,phi-4,Who composed the famous symphony 'Symphony No. 9'?,Ludwig van Beethoven,Ludwig van Beethoven maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0091,exp1,factual,gpt-oss-120b,What is the capital of Colombia?,Bogotá,Bogotá,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0092,exp1,factual,phi-4,Who was the English queen often called the 'Virgin Queen'?,Elizabeth I,Elizabeth I,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0093,exp1,factual,deepseek-r1,At what temperature does water boil in Celsius?,100,100,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0094,exp1,factual,llama-3.1-70b,"Jane Austen, a famous English novelist, lived during the reign of which king?",King George III,King George III,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0095,exp1,factual,gemma-3-27b,Who wrote the famous play 'Romeo and Juliet'?,William Shakespeare,William Shakespeare maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0096,exp1,factual,llama-3.1-70b,Which state has the longest coastline in the United States?,Alaska,Alaska,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0097,exp1,linguistic,deepseek-r1,What are two possible meanings of the sentence: 'The woman heard the man with the phone.',(1) The woman heard the man who was using a phone; (2) The woman heard the man by using a phone.,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0098,exp1,linguistic,gpt-oss-120b,Is there a grammatical error in: 'The book is on the table.',"No, the sentence is grammatically correct.","No, the sentence is grammatically correct.",,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0099,exp1,linguistic,deepseek-r1,What is the morphological decomposition of 'nonconformity'?,non- + conform + -ity,non- + conform + -ity,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0100,exp1,linguistic,deepseek-r1,Is the phrase 'I'm totally amped for the festival' suitable for a job interview at a conservative company?,No,No,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0101,exp1,linguistic,gemma-3-27b,"In the sentence 'The organization, which was established in 1920, provides vital services', what word does 'which was established in 1920' modify?",organization,organization,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0102,exp1,linguistic,gpt-oss-120b,Which reading is more natural given the context: 'The researcher is studying a report on the plane.' - 'The researcher is studying a report that is about the plane.' or 'The researcher is studying a report while on the plane.',The researcher is studying a report while on the plane.,The researcher is studying a report while on the plane.,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0103,exp1,linguistic,phi-4,"What is the grammatical error in: 'If I was a famous actor, I would win an Oscar.'","'was' should be 'were' — 'if' clause requires the subjunctive mood, 'were' is the correct form for the subjunctive","'was' should be 'were' — 'if' clause requires the subjunctive mood, 'were' is the correct form for the subjunctive",,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0104,exp1,linguistic,llama-3.1-70b,What is the morphological decomposition of 'disenthusiastically'?,dis- + enthusiasm + -atic + -ally,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0105,exp1,linguistic,deepseek-r1,Rewrite in informal register: 'I am delighted to announce the forthcoming nuptials of my esteemed colleague.',I'm super excited to announce my colleague's upcoming wedding!,I'm super excited to announce my colleague's upcoming wedding!,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0106,exp1,linguistic,deepseek-r1,"In the sentence ""The song, composed by a talented musician, is a hit"", what word does ""composed by a talented musician"" modify?",song,song,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0107,exp1,linguistic,gpt-oss-120b,Give two interpretations of: 'I'm searching for a pencil to draw with.',(1) I'm searching for a pencil that I can use to draw with; (2) I'm looking for a pencil with which to draw (formal or old-fashioned usage),(1) I'm searching for a pencil that I can use to draw with; (2) I'm looking for a pencil with which to draw (formal or old-fashioned usage),,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0108,exp1,linguistic,llama-3.1-70b,"What is the grammatical error in: 'The company has laid off hundreds of employees, but the CEO says they is still hiring.'","'they is' should be 'they are' — subject-verb agreement, 'they' is a plural subject","'they is' should be 'they are' — subject-verb agreement, 'they' is a plural subject",,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0109,exp1,linguistic,gemma-3-27b,What prefix in 'impossible' indicates 'not'?,im-,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0110,exp1,linguistic,deepseek-r1,Is the phrase 'I'm gonna grab a snack' suitable for a job interview?,No,No,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0111,exp1,linguistic,gemma-3-27b,"In the sentence 'The city's population, which was small, is now larger', what word does the clause 'which was small' modify?",population,population,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0112,exp1,linguistic,llama-3.1-70b,Which reading is more natural given the context: 'The author is editing a manuscript on the ferry.' - 'The author is editing a manuscript that is about the ferry.' or 'The author is editing a manuscript while on the ferry.',The author is editing a manuscript while on the ferry.,The author is editing a manuscript while on the ferry. maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0113,exp1,linguistic,deepseek-r1,What is the grammatical error in: 'The hotel's promise is to provide it's guests with a comfortable stay.',"'it's' should be 'its' — 'its' shows possession, 'it's' is a contraction of 'it is'","'it's' should be 'its' — 'its' shows possession, 'it's' is a contraction of 'it is'",,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0114,exp1,linguistic,phi-4,What is the derivational history of 'unaccountable'?,account → accountable → unaccountable,account → accountable → unaccountable,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0115,exp1,linguistic,gpt-oss-120b,Is the phrase 'I'm gonna grab a snack' too casual for work?,Yes,Yes,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0116,exp1,linguistic,gpt-oss-120b,"In the sentence ""The athletes, worn out from the intense training, recovered at the gym"", what word does ""worn out from the intense training"" modify?",athletes,athletes,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0117,exp1,linguistic,deepseek-r1,Provide two interpretations of: 'The new curriculum is impacting the students who are in their final year.',(1) The new curriculum is having an impact on the students who are in their final year of study; (2) The new curriculum is impacting the students in a way that is in its final year (less likely),(1) The new curriculum is having an impact on the students who are in their final year of study; (2) The new curriculum is impacting the students in a way that is in its final year (less likely),,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0118,exp1,linguistic,phi-4,Identify the grammatical error in: 'The new law applies to all residents whom are living in the city.',"'whom are' should be 'who are' — 'who' is the subject of the clause, not 'whom'","'whom are' should be 'who are' — 'who' is the subject of the clause, not 'whom'",,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0119,exp1,linguistic,gpt-oss-120b,What is the derivational history of 'irreplaceable'?,replace → replaceable → irreplaceable,replace → replaceable → irreplaceable,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0120,exp1,linguistic,llama-3.1-70b,Is the phrase 'Talk to you later!' formal or informal?,Informal,Informal,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0121,exp1,linguistic,gemma-3-27b,"In the sentence ""The manager, who was very experienced, supervised the team"", what word does ""who was very experienced"" modify?",manager,manager,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0122,exp1,linguistic,phi-4,Which reading is more natural given the context: 'The mentor gave the apprentice a guide to read over the vacation.' - 'The mentor gave the apprentice a guide that is about vacations.' or 'The mentor gave the apprentice a guide to read during the vacation.',The mentor gave the apprentice a guide to read during the vacation.,The mentor gave the apprentice a guide to read during the vacation.,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0123,exp1,linguistic,gpt-oss-120b,Identify the grammatical error in: 'The software company will have been developing apps for 25 years by the time it launches its new product.',Should use the simple future tense 'will be' instead of the future perfect 'will have been' — 'by the time it launches its new product' indicates a future time,Should use the simple future tense 'will be' instead of the future perfect 'will have been' — 'by the time it launches its new product' indicates a future time,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0124,exp1,linguistic,llama-3.1-70b,What is the derivational history of 'unrecognizable'?,recognize → recognizable → unrecognizable,I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0125,exp1,linguistic,gemma-3-27b,Identify the register of the phrase: 'I'm stoked to be attending the concert tonight!',Informal,Informal maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0126,exp1,linguistic,phi-4,"In the sentence 'The musicians, enthusiastic about jazz, performed the concert', what word does 'enthusiastic about jazz' modify?",musicians,musicians,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0127,exp1,linguistic,deepseek-r1,What does 'The journalist interviewed the politician with a microphone' mean in a normal conversation?,The journalist interviewed the politician using a microphone.,The journalist interviewed the politician using a microphone.,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0128,exp1,linguistic,phi-4,What is the grammatical error in: 'The team are going to the game.',"None, but 'team' can be considered a singular noun, so 'The team is going to the game' is also acceptable.",I am not sure,,incorrect,low,no clear match; ai_simulated_rater
AUD600_EXP1_0129,exp1,linguistic,llama-3.1-70b,What is the morphological decomposition of 'renew'?,re- + new,re- + new,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0130,exp1,linguistic,gpt-oss-120b,Why did they create the new rule?,The purpose of the new rule is to improve student safety.,The purpose of the new rule is to improve student safety. maybe,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0131,exp1,linguistic,gpt-oss-120b,"In the sentence ""The hikers, drained from the steep climb, camped at the summit"", what word does ""drained from the steep climb"" modify?",hikers,hikers,,correct,high,expected phrase matched; ai_simulated_rater
AUD600_EXP1_0132,exp1,linguistic,llama-3.1-70b,Provide two distinct interpretations of the sentence: 'The coach is meeting with the players who are on the injured list.',(1) The coach is having a meeting with the players who are currently on the injured list; (2) The coach is meeting with the players to discuss the injured list.,(1) The coach is having a meeting with the players who are currently on the injured list; (2) The coach is meeting with the players to discuss the injured list.,,correct,high,expected phrase matched; ai_simulated_rater
