item_id,question_id,domain,subcategory,difficulty,answer_type,question_text,participant_answer,participant_confidence,notes
HB_EXP1_0001,arithmetic_v2_estimation_0026,arithmetic,estimation,,short_text,About how many minutes are in 2 hours and 45 minutes?,About 165 minutes,high,
HB_EXP1_0002,arithmetic_v2_mental_calculation_0001,arithmetic,mental_calculation,,exact_numeric,"A group of friends want to share some candy equally. If they have 48 pieces and there are 6 friends, how many pieces will each friend get?",8,medium,
HB_EXP1_0003,arithmetic_v2_numerical_reasoning_0040,arithmetic,numerical_reasoning,,short_text,"Which of the following numbers is the smallest: 0.2, 1/5, or 20%?",0.2,high,
HB_EXP1_0004,arithmetic_v2_unit_conversion_0033,arithmetic,unit_conversion,,exact_numeric,"A cup holds 0.5 liters of water. If 1 liter is equal to 1 kilogram, how many grams is that?",500,medium,
HB_EXP1_0005,arithmetic_v2_word_problems_0018,arithmetic,word_problems,,exact_numeric,"A storage room has 20 shelves, and each shelf can hold 12 containers. If the storage room is currently empty, how many containers can be placed on the shelves in total?",240,high,
HB_EXP1_0006,arithmetic_v2_estimation_0024,arithmetic,estimation,,short_text,About how many centimeters are in 2.5 kilometers?,About 250000 centimeters,low,ai_simulated_human
HB_EXP1_0007,arithmetic_v2_mental_calculation_0007,arithmetic,mental_calculation,,exact_numeric,"A library has 502 books on a shelf. If 221 books are borrowed, how many books are left on the shelf?",281,high,
HB_EXP1_0008,arithmetic_v2_numerical_reasoning_0042,arithmetic,numerical_reasoning,,short_text,Compare 0.8 and 80% of a quantity. Which is larger?,0.8 and 80% are equal,medium,
HB_EXP1_0009,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,exact_numeric,"If a recipe requires 50 grams of flour, how many kilograms is that?",0.05,high,
HB_EXP1_0010,arithmetic_v2_word_problems_0011,arithmetic,word_problems,,exact_numeric,"A bookshelf has 5 shelves, and each shelf can hold 12 books. If the bookshelf is currently empty, how many books can be placed on it in total?",60,high,
HB_EXP1_0011,arithmetic_v2_estimation_0029,arithmetic,estimation,,short_text,"If a person can read 80 pages per hour, about how many pages can they read in 9 hours?",About 720 pages,high,
