item_id,task_id,domain_pair,domain_a,domain_b,subcategory_a,subcategory_b,difficulty_a,difficulty_b,task_text,part1_text,part2_text,decision_options,decision_a,answer_a,decision_b,answer_b,participant_confidence,notes
HB_EXP9_0001,fixed_fac_ari_028_04,arithmetic+factual,factual,arithmetic,geography,percentages_ratios,easy,medium,A biology teacher combines taxonomy and maths.,How many chambers does the human heart have?,Average heart rate 72 bpm. Beats in 8 hours?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0002,fixed_fac_ari_028_03,arithmetic+factual,factual,arithmetic,world_history,multiplication_division,easy,medium,A science journalist covers astronomy.,Which planet is closest to the Sun?,Mercury orbits the Sun in 88 Earth days. How many Mercury years in one Earth year (to 1 decimal place)?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,Mercury,USE_TOOL,,low,B:USE_TOOL
HB_EXP9_0003,fixed_ari_fac_005_04,arithmetic+factual,arithmetic,factual,estimation,world_history,medium,easy,A biology teacher combines taxonomy and maths.,Average heart rate 72 bpm. Beats in 8 hours?,How many chambers does the human heart have?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,4,low,A:USE_TOOL
HB_EXP9_0004,fixed_ari_fac_005_07,arithmetic+factual,arithmetic,factual,percentages_ratios,culture_arts,easy,medium,A geography teacher combines world knowledge and data.,Brazil has an area of 8.5 million km². The Amazon rainforest covers approximately 60% of it. Amazon area in km²?,What is the capital of Brazil?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,5100000,PROCEED,Brasília,medium,
HB_EXP9_0005,fixed_fac_ari_028_07,arithmetic+factual,factual,arithmetic,general_knowledge,addition_subtraction,medium,easy,A geography teacher combines world knowledge and data.,What is the capital of Brazil?,Brazil has an area of 8.5 million km². The Amazon rainforest covers approximately 60% of it. Amazon area in km²?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,Brasília,PROCEED,5100000,medium,
HB_EXP9_0006,fixed_fac_ari_028_02,arithmetic+factual,factual,arithmetic,general_knowledge,addition_subtraction,medium,easy,A geography teacher combines world knowledge and data.,What is the capital of Brazil?,Brazil has an area of 8.5 million km². The Amazon rainforest covers approximately 60% of it. Amazon area in km²?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,Brasília,PROCEED,5100000,medium,
HB_EXP9_0007,fixed_ari_lin_002_00,arithmetic+linguistic,arithmetic,linguistic,multi_step_calculation,inference_meaning,easy,medium,An HR manager handles payroll and internal communications.,85 employees each earn $6.50/hr on an 8-hour day. Daily payroll total?,"Identify the grammatical error: 'The manager, along with her team members, are responsible for the report.'",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,are should be is,low,A:USE_TOOL
HB_EXP9_0008,fixed_ari_lin_002_04,arithmetic+linguistic,arithmetic,linguistic,percentages_ratios,register_style,medium,easy,An operations manager calculates load capacity and reviews reports.,"Truck capacity 2,000 kg. Current load: 18 boxes × 65 kg each. Remaining capacity in kg?",Identify the figure of speech: 'The deadline was a ticking time bomb.',PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,830,PROCEED,metaphor,medium,
HB_EXP9_0009,fixed_ari_lin_002_05,arithmetic+linguistic,arithmetic,linguistic,multi_step_calculation,inference_meaning,easy,medium,An HR manager handles payroll and internal communications.,85 employees each earn $6.50/hr on an 8-hour day. Daily payroll total?,"Identify the grammatical error: 'The manager, along with her team members, are responsible for the report.'",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4420,PROCEED,are should be is,medium,
HB_EXP9_0010,fixed_ari_lin_002_03,arithmetic+linguistic,arithmetic,linguistic,multiplication_division,active_passive,medium,easy,A financial analyst computes quarterly figures and reviews documentation.,"Q1: $42,000; Q2: $38,500; Q3: $51,200. Average quarterly revenue?",What part of speech is 'rapidly' in: 'The company rapidly expanded its market share'?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,43900,PROCEED,adverb,medium,
