item_id,question_id,domain,subcategory,difficulty,answer_type,question_text,participant_answer,participant_confidence,notes
HB_EXP1_0001,arithmetic_v2_estimation_0026,arithmetic,estimation,,short_text,About how many minutes are in 2 hours and 45 minutes?,About 165 minutes,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0002,arithmetic_v2_mental_calculation_0001,arithmetic,mental_calculation,,exact_numeric,"A group of friends want to share some candy equally. If they have 48 pieces and there are 6 friends, how many pieces will each friend get?",8,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0003,arithmetic_v2_numerical_reasoning_0040,arithmetic,numerical_reasoning,,short_text,"Which of the following numbers is the smallest: 0.2, 1/5, or 20%?",0.2,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0004,arithmetic_v2_unit_conversion_0033,arithmetic,unit_conversion,,exact_numeric,"A cup holds 0.5 liters of water. If 1 liter is equal to 1 kilogram, how many grams is that?",500,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0005,arithmetic_v2_word_problems_0018,arithmetic,word_problems,,exact_numeric,"A storage room has 20 shelves, and each shelf can hold 12 containers. If the storage room is currently empty, how many containers can be placed on the shelves in total?",240,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0006,arithmetic_v2_estimation_0024,arithmetic,estimation,,short_text,About how many centimeters are in 2.5 kilometers?,About 250000 centimeters,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0007,arithmetic_v2_mental_calculation_0007,arithmetic,mental_calculation,,exact_numeric,"A library has 502 books on a shelf. If 221 books are borrowed, how many books are left on the shelf?",281,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0008,arithmetic_v2_numerical_reasoning_0042,arithmetic,numerical_reasoning,,short_text,Compare 0.8 and 80% of a quantity. Which is larger?,0.8 and 80% are equal,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0009,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,exact_numeric,"If a recipe requires 50 grams of flour, how many kilograms is that?",0.05,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0010,arithmetic_v2_word_problems_0011,arithmetic,word_problems,,exact_numeric,"A bookshelf has 5 shelves, and each shelf can hold 12 books. If the bookshelf is currently empty, how many books can be placed on it in total?",60,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0011,factual_v2_cross_domain_trivia_0047,factual,cross_domain_trivia,,short_text,"The acclaimed geologist Mary Anning wrote a popular science book called 'The Fossil Hunter', which explores the concept of which phenomenon that she is also known for discovering?",Dinosaur Fossils,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0012,factual_v2_culture_0038,factual,culture,,short_text,Who wrote the famous novel 'Pride and Prejudice'?,Jane Austen,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0013,factual_v2_geography_0005,factual,geography,,short_text,What is the capital of Japan?,Tokyo,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0014,factual_v2_history_0028,factual,history,,short_text,Who was the English queen who ruled during the 16th century and is famous for being a virgin?,Elizabeth I,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0015,factual_v2_science_0018,factual,science,,short_text,What is the scientific term for the preserved remains of prehistoric creatures?,Fossils,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0016,factual_v2_cross_domain_trivia_0044,factual,cross_domain_trivia,,short_text,What type of rock is formed from the cooling and solidification of magma or lava?,Igneous rock,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0017,factual_v2_culture_0032,factual,culture,,short_text,Who composed the symphony 'Symphony No. 5'?,Ludwig van Beethoven,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0018,factual_v2_geography_0008,factual,geography,,short_text,What is the most well-known city in China?,Beijing,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0019,factual_v2_history_0024,factual,history,,short_text,Who led China during World War II?,Chiang Kai-shek,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP1_0020,factual_v2_science_0017,factual,science,,short_text,What is the chemical formula for carbon dioxide?,CO2,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
