task_id,ground_truth_outcome,risk_tier,resolver_type,success_criteria,ground_truth_source
EV_0001,request_more_info,low,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0002,escalate,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0003,approve,high,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0004,escalate,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0005,deny,medium,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0006,request_more_info,low,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0007,request_more_info,medium,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0008,approve,low,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0009,deny,low,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0010,approve,high,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0011,request_more_info,critical,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0012,deny,medium,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0013,request_more_info,critical,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0014,approve,critical,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0015,deny,low,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0016,approve,high,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0017,approve,high,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0018,request_more_info,low,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0019,escalate,high,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0020,deny,high,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0021,deny,medium,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0022,escalate,low,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0023,escalate,high,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0024,escalate,critical,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0025,deny,medium,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0026,escalate,low,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0027,approve,high,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0028,approve,low,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0029,request_more_info,medium,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0030,escalate,low,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0031,request_more_info,high,tool,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0032,escalate,medium,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0033,approve,medium,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0034,request_more_info,medium,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0035,approve,high,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0036,request_more_info,high,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
