task_id,workflow,domain,risk_tier,scenario,input_context,user_request,artifact_ref,blinded_eval
EV_0001,clinical_admin,spatial,low,clinical_admin workflow case 1,Operator receives mixed-signal evidence packet #1,Resolve case 1 under policy constraints and provide final action,ART-00001,true
EV_0002,supply_chain,procedural,medium,supply_chain workflow case 2,Operator receives mixed-signal evidence packet #2,Resolve case 2 under policy constraints and provide final action,ART-00002,true
EV_0003,incident_triage,arithmetic,high,incident_triage workflow case 3,Operator receives mixed-signal evidence packet #3,Resolve case 3 under policy constraints and provide final action,ART-00003,true
EV_0004,supply_chain,temporal,medium,supply_chain workflow case 4,Operator receives mixed-signal evidence packet #4,Resolve case 4 under policy constraints and provide final action,ART-00004,true
EV_0005,sales_ops,linguistic,medium,sales_ops workflow case 5,Operator receives mixed-signal evidence packet #5,Resolve case 5 under policy constraints and provide final action,ART-00005,true
EV_0006,billing_support,linguistic,low,billing_support workflow case 6,Operator receives mixed-signal evidence packet #6,Resolve case 6 under policy constraints and provide final action,ART-00006,true
EV_0007,sales_ops,arithmetic,medium,sales_ops workflow case 7,Operator receives mixed-signal evidence packet #7,Resolve case 7 under policy constraints and provide final action,ART-00007,true
EV_0008,legal_intake,factual,low,legal_intake workflow case 8,Operator receives mixed-signal evidence packet #8,Resolve case 8 under policy constraints and provide final action,ART-00008,true
EV_0009,legal_intake,arithmetic,low,legal_intake workflow case 9,Operator receives mixed-signal evidence packet #9,Resolve case 9 under policy constraints and provide final action,ART-00009,true
EV_0010,incident_triage,spatial,high,incident_triage workflow case 10,Operator receives mixed-signal evidence packet #10,Resolve case 10 under policy constraints and provide final action,ART-00010,true
EV_0011,supply_chain,spatial,critical,supply_chain workflow case 11,Operator receives mixed-signal evidence packet #11,Resolve case 11 under policy constraints and provide final action,ART-00011,true
EV_0012,code_review,social,medium,code_review workflow case 12,Operator receives mixed-signal evidence packet #12,Resolve case 12 under policy constraints and provide final action,ART-00012,true
EV_0013,code_review,temporal,critical,code_review workflow case 13,Operator receives mixed-signal evidence packet #13,Resolve case 13 under policy constraints and provide final action,ART-00013,true
EV_0014,sales_ops,logical,critical,sales_ops workflow case 14,Operator receives mixed-signal evidence packet #14,Resolve case 14 under policy constraints and provide final action,ART-00014,true
EV_0015,sales_ops,temporal,low,sales_ops workflow case 15,Operator receives mixed-signal evidence packet #15,Resolve case 15 under policy constraints and provide final action,ART-00015,true
EV_0016,clinical_admin,logical,high,clinical_admin workflow case 16,Operator receives mixed-signal evidence packet #16,Resolve case 16 under policy constraints and provide final action,ART-00016,true
EV_0017,code_review,linguistic,high,code_review workflow case 17,Operator receives mixed-signal evidence packet #17,Resolve case 17 under policy constraints and provide final action,ART-00017,true
EV_0018,billing_support,arithmetic,low,billing_support workflow case 18,Operator receives mixed-signal evidence packet #18,Resolve case 18 under policy constraints and provide final action,ART-00018,true
EV_0019,code_review,procedural,high,code_review workflow case 19,Operator receives mixed-signal evidence packet #19,Resolve case 19 under policy constraints and provide final action,ART-00019,true
EV_0020,fraud_screening,factual,high,fraud_screening workflow case 20,Operator receives mixed-signal evidence packet #20,Resolve case 20 under policy constraints and provide final action,ART-00020,true
EV_0021,incident_triage,factual,medium,incident_triage workflow case 21,Operator receives mixed-signal evidence packet #21,Resolve case 21 under policy constraints and provide final action,ART-00021,true
EV_0022,fraud_screening,factual,low,fraud_screening workflow case 22,Operator receives mixed-signal evidence packet #22,Resolve case 22 under policy constraints and provide final action,ART-00022,true
EV_0023,billing_support,logical,high,billing_support workflow case 23,Operator receives mixed-signal evidence packet #23,Resolve case 23 under policy constraints and provide final action,ART-00023,true
EV_0024,billing_support,factual,critical,billing_support workflow case 24,Operator receives mixed-signal evidence packet #24,Resolve case 24 under policy constraints and provide final action,ART-00024,true
EV_0025,supply_chain,factual,medium,supply_chain workflow case 25,Operator receives mixed-signal evidence packet #25,Resolve case 25 under policy constraints and provide final action,ART-00025,true
EV_0026,clinical_admin,factual,low,clinical_admin workflow case 26,Operator receives mixed-signal evidence packet #26,Resolve case 26 under policy constraints and provide final action,ART-00026,true
EV_0027,supply_chain,spatial,high,supply_chain workflow case 27,Operator receives mixed-signal evidence packet #27,Resolve case 27 under policy constraints and provide final action,ART-00027,true
EV_0028,billing_support,arithmetic,low,billing_support workflow case 28,Operator receives mixed-signal evidence packet #28,Resolve case 28 under policy constraints and provide final action,ART-00028,true
EV_0029,code_review,temporal,medium,code_review workflow case 29,Operator receives mixed-signal evidence packet #29,Resolve case 29 under policy constraints and provide final action,ART-00029,true
EV_0030,code_review,factual,low,code_review workflow case 30,Operator receives mixed-signal evidence packet #30,Resolve case 30 under policy constraints and provide final action,ART-00030,true
EV_0031,sales_ops,linguistic,high,sales_ops workflow case 31,Operator receives mixed-signal evidence packet #31,Resolve case 31 under policy constraints and provide final action,ART-00031,true
EV_0032,billing_support,spatial,medium,billing_support workflow case 32,Operator receives mixed-signal evidence packet #32,Resolve case 32 under policy constraints and provide final action,ART-00032,true
EV_0033,supply_chain,spatial,medium,supply_chain workflow case 33,Operator receives mixed-signal evidence packet #33,Resolve case 33 under policy constraints and provide final action,ART-00033,true
EV_0034,fraud_screening,logical,medium,fraud_screening workflow case 34,Operator receives mixed-signal evidence packet #34,Resolve case 34 under policy constraints and provide final action,ART-00034,true
EV_0035,code_review,linguistic,high,code_review workflow case 35,Operator receives mixed-signal evidence packet #35,Resolve case 35 under policy constraints and provide final action,ART-00035,true
EV_0036,supply_chain,procedural,high,supply_chain workflow case 36,Operator receives mixed-signal evidence packet #36,Resolve case 36 under policy constraints and provide final action,ART-00036,true
EV_0037,incident_triage,procedural,high,incident_triage workflow case 37,Operator receives mixed-signal evidence packet #37,Resolve case 37 under policy constraints and provide final action,ART-00037,true
EV_0038,incident_triage,procedural,medium,incident_triage workflow case 38,Operator receives mixed-signal evidence packet #38,Resolve case 38 under policy constraints and provide final action,ART-00038,true
EV_0039,supply_chain,temporal,low,supply_chain workflow case 39,Operator receives mixed-signal evidence packet #39,Resolve case 39 under policy constraints and provide final action,ART-00039,true
EV_0040,clinical_admin,logical,medium,clinical_admin workflow case 40,Operator receives mixed-signal evidence packet #40,Resolve case 40 under policy constraints and provide final action,ART-00040,true
