question_id,domain,subcategory,difficulty,source_dataset,source_question_id,transformation_type,parent_question_id,cross_llm_agreement,difficulty_validated,answer_type
,arithmetic,numerical_reasoning,easy,math_dataset,train_7502_var_2,surface_variation,train_7502,0.6666666666666666,True,exact_numeric
,arithmetic,word_problems,hard,gsm8k,train_7148_var_4,surface_variation,train_7148,1.0,True,exact_numeric
,arithmetic,word_problems,hard,gsm8k,train_6527_var_4,surface_variation,train_6527,0.6666666666666666,True,exact_numeric
,arithmetic,word_problems,hard,gsm8k,train_6993_var_3,surface_variation,train_6993,0.6666666666666666,True,exact_numeric
,arithmetic,word_problems,adversarial,gsm8k,train_6225_var_2,surface_variation,train_6225,1.0,True,exact_numeric
,arithmetic,word_problems,hard,gsm8k,train_160_var_4,surface_variation,train_160,1.0,True,exact_numeric
,arithmetic,word_problems,hard,gsm8k,train_1931_var_4,surface_variation,train_1931,0.0,True,exact_numeric
,arithmetic,word_problems,easy,gsm8k,test_644_var_1,surface_variation,test_644,1.0,True,exact_numeric
,arithmetic,mental_calculation,hard,math_dataset,test_5_var_4,surface_variation,test_5,0.6666666666666666,True,exact_numeric
,arithmetic,mental_calculation,hard,math_dataset,train_7682_var_1,surface_variation,train_7682,0.0,True,exact_numeric
,arithmetic,numerical_reasoning,medium,math_dataset,train_11996_var_1,surface_variation,train_11996,0.5,True,exact_numeric
,arithmetic,word_problems,hard,gsm8k,train_1660_var_3,surface_variation,train_1660,1.0,True,exact_numeric
,arithmetic,word_problems,hard,gsm8k,train_6321_var_1,surface_variation,train_6321,0.5,True,exact_numeric
,arithmetic,word_problems,easy,gsm8k,test_65_var_1,surface_variation,test_65,1.0,True,exact_numeric
,arithmetic,word_problems,hard,gsm8k,train_6993_var_4,surface_variation,train_6993,1.0,True,exact_numeric
,arithmetic,mental_calculation,hard,math_dataset,test_67_var_4,surface_variation,test_67,1.0,True,exact_numeric
