request_id,timestamp_utc,workflow,risk_tier,input_text,model_decision,model_answer
EV_0001,2026-03-01T00:00:00Z,clinical_admin,low,Operator receives mixed-signal evidence packet #1 | Resolve case 1 under policy constraints and provide final action,FLAG_FOR_REVIEW,decision=FLAG_FOR_REVIEW; scenario=clinical_admin workflow case 1
EV_0002,2026-03-01T00:07:00Z,supply_chain,medium,Operator receives mixed-signal evidence packet #2 | Resolve case 2 under policy constraints and provide final action,FLAG_FOR_REVIEW,decision=FLAG_FOR_REVIEW; scenario=supply_chain workflow case 2
EV_0003,2026-03-01T00:14:00Z,incident_triage,high,Operator receives mixed-signal evidence packet #3 | Resolve case 3 under policy constraints and provide final action,PROCEED,decision=PROCEED; scenario=incident_triage workflow case 3
EV_0004,2026-03-01T00:21:00Z,supply_chain,medium,Operator receives mixed-signal evidence packet #4 | Resolve case 4 under policy constraints and provide final action,FLAG_FOR_REVIEW,decision=FLAG_FOR_REVIEW; scenario=supply_chain workflow case 4
EV_0005,2026-03-01T00:28:00Z,sales_ops,medium,Operator receives mixed-signal evidence packet #5 | Resolve case 5 under policy constraints and provide final action,PROCEED,decision=PROCEED; scenario=sales_ops workflow case 5
EV_0006,2026-03-01T00:35:00Z,billing_support,low,Operator receives mixed-signal evidence packet #6 | Resolve case 6 under policy constraints and provide final action,FLAG_FOR_REVIEW,decision=FLAG_FOR_REVIEW; scenario=billing_support workflow case 6
EV_0007,2026-03-01T00:42:00Z,sales_ops,medium,Operator receives mixed-signal evidence packet #7 | Resolve case 7 under policy constraints and provide final action,FLAG_FOR_REVIEW,decision=FLAG_FOR_REVIEW; scenario=sales_ops workflow case 7
EV_0008,2026-03-01T00:49:00Z,legal_intake,low,Operator receives mixed-signal evidence packet #8 | Resolve case 8 under policy constraints and provide final action,PROCEED,decision=PROCEED; scenario=legal_intake workflow case 8
EV_0009,2026-03-01T00:56:00Z,legal_intake,low,Operator receives mixed-signal evidence packet #9 | Resolve case 9 under policy constraints and provide final action,PROCEED,decision=PROCEED; scenario=legal_intake workflow case 9
EV_0010,2026-03-01T01:03:00Z,incident_triage,high,Operator receives mixed-signal evidence packet #10 | Resolve case 10 under policy constraints and provide final action,PROCEED,decision=PROCEED; scenario=incident_triage workflow case 10
EV_0011,2026-03-01T01:10:00Z,supply_chain,critical,Operator receives mixed-signal evidence packet #11 | Resolve case 11 under policy constraints and provide final action,FLAG_FOR_REVIEW,decision=FLAG_FOR_REVIEW; scenario=supply_chain workflow case 11
EV_0012,2026-03-01T01:17:00Z,code_review,medium,Operator receives mixed-signal evidence packet #12 | Resolve case 12 under policy constraints and provide final action,PROCEED,decision=PROCEED; scenario=code_review workflow case 12
